CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,A,African-Am Culture & Soc,Gbedema,Tometi,26,2
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,A-,African-Am Culture & Soc,Gbedema,Tometi,26,4
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,B,African-Am Culture & Soc,Gbedema,Tometi,26,6
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,B+,African-Am Culture & Soc,Gbedema,Tometi,26,4
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,B-,African-Am Culture & Soc,Gbedema,Tometi,26,6
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,C+,African-Am Culture & Soc,Gbedema,Tometi,26,1
20001,AAS,010,A01,"R 5:10-6:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,P*,African-Am Culture & Soc,Gbedema,Tometi,26,3
20002,AAS,010,A02,"R 6:10-7:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,A,African-Am Culture & Soc,Gbedema,Tometi,24,3
20002,AAS,010,A02,"R 6:10-7:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,A-,African-Am Culture & Soc,Gbedema,Tometi,24,3
20002,AAS,010,A02,"R 6:10-7:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,B,African-Am Culture & Soc,Gbedema,Tometi,24,8
20002,AAS,010,A02,"R 6:10-7:00, TR 12:10-1:30",Undergraduate Lower,202210,Fall Quarter 2022,4.0,B+,African-Am Culture & Soc,Gbedema,Tometi,24,4
