CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,A,Women in Africa,Adejunmobi,Moradewun,84,11
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,A+,Women in Africa,Adejunmobi,Moradewun,84,4
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,A-,Women in Africa,Adejunmobi,Moradewun,84,20
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,B,Women in Africa,Adejunmobi,Moradewun,84,10
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,B+,Women in Africa,Adejunmobi,Moradewun,84,7
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,B-,Women in Africa,Adejunmobi,Moradewun,84,12
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,C,Women in Africa,Adejunmobi,Moradewun,84,3
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,C-,Women in Africa,Adejunmobi,Moradewun,84,5
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,F,Women in Africa,Adejunmobi,Moradewun,84,3
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,NP*,Women in Africa,Adejunmobi,Moradewun,84,3
10001,AAS,017,001,MW 4:10-6:00,Undergraduate Lower,202501,Winter Quarter 2025,4.0,P*,Women in Africa,Adejunmobi,Moradewun,84,6
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A,Intro Caribbean Studies,Ngweno,Bettina,24,8
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A+,Intro Caribbean Studies,Ngweno,Bettina,24,3
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A-,Intro Caribbean Studies,Ngweno,Bettina,24,3
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,B,Intro Caribbean Studies,Ngweno,Bettina,24,3
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,B-,Intro Caribbean Studies,Ngweno,Bettina,24,2
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,D+,Intro Caribbean Studies,Ngweno,Bettina,24,1
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,NP*,Intro Caribbean Studies,Ngweno,Bettina,24,1
10002,AAS,018,A01,"T 5:10-6:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,P*,Intro Caribbean Studies,Ngweno,Bettina,24,3
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A,Intro Caribbean Studies,Ngweno,Bettina,21,8
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A-,Intro Caribbean Studies,Ngweno,Bettina,21,2
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,B,Intro Caribbean Studies,Ngweno,Bettina,21,6
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,B+,Intro Caribbean Studies,Ngweno,Bettina,21,2
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,B-,Intro Caribbean Studies,Ngweno,Bettina,21,1
10003,AAS,018,A02,"T 6:10-7:00, TR 10:30-11:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,P*,Intro Caribbean Studies,Ngweno,Bettina,21,2
10004,AAS,050,A01,"TR 9:00-10:20, W 10:00-10:50",Undergraduate Lower,202501,Winter Quarter 2025,4.0,A,Black Images,White,Elisa,25,4
