CRN,SUBJ,CRSE,SECTION,MEET_DAYS_TIMES,COURSE_LEVEL,TERM,TERM_DESC,UNITS,GRADE,CRSE_TITLE,ILNAME,IFNAME,ENROLLED,CNTOFGRADE
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,A,Intro to Black Politics,Williams,Angelo,43,8
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,A+,Intro to Black Politics,Williams,Angelo,43,28
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,B,Intro to Black Politics,Williams,Angelo,43,1
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,B+,Intro to Black Politics,Williams,Angelo,43,2
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,B-,Intro to Black Politics,Williams,Angelo,43,1
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,C-,Intro to Black Politics,Williams,Angelo,43,1
30008,AAS,080,001,MW 6:10-8:00,Undergraduate Lower,202503,Spring Quarter 2025,4.0,P*,Intro to Black Politics,Williams,Angelo,43,2
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,A,African Heritg in Europe,White,Elisa,38,7
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,A+,African Heritg in Europe,White,Elisa,38,13
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,A-,African Heritg in Europe,White,Elisa,38,3
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,B,African Heritg in Europe,White,Elisa,38,2
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,B+,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,B-,African Heritg in Europe,White,Elisa,38,4
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,C,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,C+,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,C-,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,D+,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,F,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,NP*,African Heritg in Europe,White,Elisa,38,1
30012,AAS,107D,001,TR 10:00-11:50,Undergraduate Upper,202503,Spring Quarter 2025,4.0,P*,African Heritg in Europe,White,Elisa,38,2
30023,AAS,194HB,001, :-:,Undergraduate Upper,202503,Spring Quarter 2025,4.0,A,Special Study Honors,Harrison,Milmon,11,9
30023,AAS,194HB,001, :-:,Undergraduate Upper,202503,Spring Quarter 2025,4.0,A+,Special Study Honors,Harrison,Milmon,11,2
30170,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202503,Spring Quarter 2025,3.0,A,Animal Biology,Attardo,Geoffrey,49,39
30170,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202503,Spring Quarter 2025,3.0,A+,Animal Biology,Attardo,Geoffrey,49,8
30170,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202503,Spring Quarter 2025,3.0,B,Animal Biology,Attardo,Geoffrey,49,1
30170,ABI,050C,001,TR 9:00-10:20,Undergraduate Lower,202503,Spring Quarter 2025,3.0,NP*,Animal Biology,Attardo,Geoffrey,49,1
30171,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202503,Spring Quarter 2025,3.0,A,Animal Biology,Attardo,Geoffrey,37,27
30171,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202503,Spring Quarter 2025,3.0,A+,Animal Biology,Attardo,Geoffrey,37,6
30171,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202503,Spring Quarter 2025,3.0,A-,Animal Biology,Attardo,Geoffrey,37,3
30171,ABI,050C,002,TR 4:40-6:00,Undergraduate Lower,202503,Spring Quarter 2025,3.0,F,Animal Biology,Attardo,Geoffrey,37,1
